@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute y numeric
@attribute change_filter_state-1 {0,1,2}

@data
1,'2018/10/06 17:07:04:907',1,487.433075,1
2,'2018/10/06 17:07:04:932',1,487.993988,1
3,'2018/10/06 17:07:04:965',1,490.404694,1
4,'2018/10/06 17:07:04:999',1,489.924133,1
5,'2018/10/06 17:07:05:030',1,491.365662,1
6,'2018/10/06 17:07:05:065',1,491.327759,1
7,'2018/10/06 17:07:05:099',1,489.398804,1
8,'2018/10/06 17:07:05:132',1,491.682526,1
9,'2018/10/06 17:07:05:162',1,489.919586,1
10,'2018/10/06 17:07:05:200',1,489.72818,1
11,'2018/10/06 17:07:05:231',1,487.213806,1
12,'2018/10/06 17:07:05:265',1,489.662231,1
13,'2018/10/06 17:07:05:298',1,490.753204,1
14,'2018/10/06 17:07:05:330',1,485.417389,1
15,'2018/10/06 17:07:05:367',1,482.456116,1
16,'2018/10/06 17:07:05:399',1,480.830994,1
17,'2018/10/06 17:07:05:430',1,479.092041,1
18,'2018/10/06 17:07:05:466',1,478.376404,1
19,'2018/10/06 17:07:05:501',1,476.680328,1
20,'2018/10/06 17:07:05:531',1,478.806061,1
21,'2018/10/06 17:07:05:566',1,482.198364,1
22,'2018/10/06 17:07:05:598',1,481.653534,1
23,'2018/10/06 17:07:05:630',1,480.930054,1
24,'2018/10/06 17:07:05:666',1,481.22699,1
25,'2018/10/06 17:07:05:704',1,480.913208,1
26,'2018/10/06 17:07:05:731',1,479.234436,1
27,'2018/10/06 17:07:05:766',1,479.785156,1
28,'2018/10/06 17:07:05:800',1,479.933533,1
29,'2018/10/06 17:07:05:832',1,480.081299,1
30,'2018/10/06 17:07:05:867',1,481.385376,1
31,'2018/10/06 17:07:05:898',1,478.663422,1
32,'2018/10/06 17:07:05:930',1,479.086578,1
33,'2018/10/06 17:07:05:968',1,480.02478,1
34,'2018/10/06 17:07:05:998',1,480.114319,1
35,'2018/10/06 17:07:06:030',1,479.8172,1
36,'2018/10/06 17:07:06:066',1,479.429016,1
37,'2018/10/06 17:07:06:099',1,480.678284,1
38,'2018/10/06 17:07:06:131',1,476.83374,1
39,'2018/10/06 17:07:06:166',1,476.746368,1
40,'2018/10/06 17:07:06:198',1,476.062256,1
41,'2018/10/06 17:07:06:230',1,476.867737,1
42,'2018/10/06 17:07:06:271',1,478.113403,1
43,'2018/10/06 17:07:06:298',1,479.018036,1
44,'2018/10/06 17:07:06:330',1,478.118683,1
45,'2018/10/06 17:07:06:366',1,478.39566,1
46,'2018/10/06 17:07:06:398',1,479.373505,1
47,'2018/10/06 17:07:06:434',1,480.370331,1
48,'2018/10/06 17:07:06:467',1,481.591003,1
49,'2018/10/06 17:07:06:498',1,482.745209,1
50,'2018/10/06 17:07:06:537',1,482.758209,1
51,'2018/10/06 17:07:06:566',1,480.78595,1
52,'2018/10/06 17:07:06:599',1,480.053406,1
53,'2018/10/06 17:07:06:633',1,477.373138,1
54,'2018/10/06 17:07:06:666',1,477.637634,1
55,'2018/10/06 17:07:06:698',1,477.184296,1
56,'2018/10/06 17:07:06:734',1,478.527618,1
57,'2018/10/06 17:07:06:772',1,476.926331,1
58,'2018/10/06 17:07:06:804',1,474.95874,1
59,'2018/10/06 17:07:06:847',1,475.278412,1
60,'2018/10/06 17:07:06:868',1,474.266235,1
61,'2018/10/06 17:07:10:577',2,251.779663,2
62,'2018/10/06 17:07:10:604',2,255.272324,2
63,'2018/10/06 17:07:10:638',2,255.889709,2
64,'2018/10/06 17:07:10:672',2,252.153885,2
65,'2018/10/06 17:07:10:703',2,249.980545,2
66,'2018/10/06 17:07:10:737',2,256.301086,2
67,'2018/10/06 17:07:10:769',2,256.411011,2
68,'2018/10/06 17:07:10:802',2,258.747803,2
69,'2018/10/06 17:07:10:837',2,262.610901,2
70,'2018/10/06 17:07:10:870',2,265.936066,2
71,'2018/10/06 17:07:10:901',2,264.715332,2
72,'2018/10/06 17:07:10:937',2,261.54541,2
73,'2018/10/06 17:07:10:970',2,260.382568,2
74,'2018/10/06 17:07:11:001',2,259.528046,2
75,'2018/10/06 17:07:11:037',2,258.321106,2
76,'2018/10/06 17:07:11:069',2,256.529938,2
77,'2018/10/06 17:07:11:101',2,257.61673,2
78,'2018/10/06 17:07:11:138',2,255.789795,2
79,'2018/10/06 17:07:11:169',2,252.276245,2
80,'2018/10/06 17:07:11:206',2,251.079529,2
81,'2018/10/06 17:07:11:238',2,249.585144,2
82,'2018/10/06 17:07:11:269',2,247.422241,2
83,'2018/10/06 17:07:11:306',2,247.292969,2
84,'2018/10/06 17:07:11:337',2,247.550095,2
85,'2018/10/06 17:07:11:370',2,251.324677,2
86,'2018/10/06 17:07:11:405',2,248.750214,2
87,'2018/10/06 17:07:13:273',3,-30.481285,2
88,'2018/10/06 17:07:13:307',3,-35.507141,2
89,'2018/10/06 17:07:13:338',3,-37.314201,2
90,'2018/10/06 17:07:13:373',3,-39.533089,2
91,'2018/10/06 17:07:13:405',3,-42.657902,2
92,'2018/10/06 17:07:13:438',3,-45.702789,2
93,'2018/10/06 17:07:13:473',3,-47.49614,2
94,'2018/10/06 17:07:13:515',3,-47.69268,2
95,'2018/10/06 17:07:13:544',3,-48.838066,2
96,'2018/10/06 17:07:13:575',3,-49.356533,2
97,'2018/10/06 17:07:13:616',3,-51.462467,2
98,'2018/10/06 17:07:13:651',3,-51.174976,2
99,'2018/10/06 17:07:13:675',3,-52.689316,2
100,'2018/10/06 17:07:13:706',3,-53.909618,2
101,'2018/10/06 17:07:13:742',3,-54.455578,2
102,'2018/10/06 17:07:13:781',3,-54.048351,2
103,'2018/10/06 17:07:13:806',3,-52.375881,2
104,'2018/10/06 17:07:13:846',3,-51.807232,2
105,'2018/10/06 17:07:13:874',3,-49.921085,2
106,'2018/10/06 17:07:13:912',3,-51.802563,2
107,'2018/10/06 17:07:13:942',3,-52.006264,2
108,'2018/10/06 17:07:13:973',3,-51.826523,2
109,'2018/10/06 17:07:14:006',3,-51.669506,2
110,'2018/10/06 17:07:14:042',3,-51.682419,2
111,'2018/10/06 17:07:14:073',3,-51.671394,2
112,'2018/10/06 17:07:14:105',3,-51.268608,2
113,'2018/10/06 17:07:14:141',3,-49.032051,2
114,'2018/10/06 17:07:14:173',3,-48.830582,2
115,'2018/10/06 17:07:14:206',3,-48.202782,2
116,'2018/10/06 17:07:14:241',3,-50.214043,2
117,'2018/10/06 17:07:14:274',3,-48.223351,2
118,'2018/10/06 17:07:14:305',3,-49.32793,2
119,'2018/10/06 17:07:14:343',3,-46.006821,2
120,'2018/10/06 17:07:14:375',3,-48.289562,2
121,'2018/10/06 17:07:14:406',3,-50.593483,2
122,'2018/10/06 17:07:16:277',4,-415.606262,2
123,'2018/10/06 17:07:16:312',4,-415.441528,2
124,'2018/10/06 17:07:16:342',4,-414.003723,2
125,'2018/10/06 17:07:16:377',4,-416.20105,2
126,'2018/10/06 17:07:16:410',4,-416.870056,2
127,'2018/10/06 17:07:16:442',4,-415.236176,2
128,'2018/10/06 17:07:16:478',4,-400.878235,2
129,'2018/10/06 17:07:16:510',4,-401.300903,2
130,'2018/10/06 17:07:16:544',4,-406.206177,2
131,'2018/10/06 17:07:16:577',4,-406.974487,2
132,'2018/10/06 17:07:16:610',4,-407.116516,2
133,'2018/10/06 17:07:16:649',4,-408.362183,2
134,'2018/10/06 17:07:16:684',4,-396.212128,2
135,'2018/10/06 17:07:16:710',4,-398.854279,2
136,'2018/10/06 17:07:16:748',4,-392.091736,2
137,'2018/10/06 17:07:16:778',4,-393.286987,2
138,'2018/10/06 17:07:16:811',4,-400.404999,2
139,'2018/10/06 17:07:16:841',4,-404.158112,2
140,'2018/10/06 17:07:16:879',4,-393.37384,2
141,'2018/10/06 17:07:16:910',4,-396.777527,2
142,'2018/10/06 17:07:16:942',4,-401.054901,2
143,'2018/10/06 17:07:16:977',4,-401.823517,2
144,'2018/10/06 17:07:17:010',4,-405.803589,2
145,'2018/10/06 17:07:17:041',4,-407.377777,2
146,'2018/10/06 17:07:17:077',4,-406.769318,2
147,'2018/10/06 17:07:17:109',4,-407.68042,2
148,'2018/10/06 17:07:17:146',4,-395.931915,2
149,'2018/10/06 17:07:17:178',4,-399.172882,2
150,'2018/10/06 17:07:17:211',4,-401.154602,2
151,'2018/10/06 17:07:17:245',4,-393.467133,2
152,'2018/10/06 17:07:17:277',4,-390.437531,2
153,'2018/10/06 17:07:17:309',4,-398.131958,2
154,'2018/10/06 17:07:17:346',4,-391.371277,2
