@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute y numeric
@attribute change_reverb_state-1 {0,1,2}

@data
1,'2018/10/06 17:22:49:336',1,449.148407,1
2,'2018/10/06 17:22:49:375',1,450.943512,1
3,'2018/10/06 17:22:49:450',1,451.511139,1
4,'2018/10/06 17:22:49:472',1,450.667542,1
5,'2018/10/06 17:22:49:502',1,449.845032,1
6,'2018/10/06 17:22:49:546',1,449.430878,1
7,'2018/10/06 17:22:49:576',1,450.346161,1
8,'2018/10/06 17:22:49:601',1,450.269531,1
9,'2018/10/06 17:22:49:640',1,452.130371,1
10,'2018/10/06 17:22:49:669',1,451.086426,1
11,'2018/10/06 17:22:49:701',1,451.166046,1
12,'2018/10/06 17:22:49:733',1,453.266632,1
13,'2018/10/06 17:22:49:768',1,451.542389,1
14,'2018/10/06 17:22:49:801',1,450.352783,1
15,'2018/10/06 17:22:49:833',1,448.873718,1
16,'2018/10/06 17:22:49:875',1,449.064941,1
17,'2018/10/06 17:22:49:905',1,449.339417,1
18,'2018/10/06 17:22:49:942',1,449.593475,1
19,'2018/10/06 17:22:49:972',1,450.358459,1
20,'2018/10/06 17:22:50:001',1,450.772797,1
21,'2018/10/06 17:22:50:032',1,450.761963,1
22,'2018/10/06 17:22:50:073',1,449.697449,1
23,'2018/10/06 17:22:50:102',1,449.22052,1
24,'2018/10/06 17:22:50:135',1,449.377655,1
25,'2018/10/06 17:22:50:170',1,449.406128,1
26,'2018/10/06 17:22:50:201',1,448.664398,1
27,'2018/10/06 17:22:50:241',1,451.504822,1
28,'2018/10/06 17:22:50:274',1,451.426941,1
29,'2018/10/06 17:22:50:301',1,451.081818,1
30,'2018/10/06 17:22:50:339',1,451.197388,1
31,'2018/10/06 17:22:50:373',1,448.651306,1
32,'2018/10/06 17:22:50:401',1,447.859192,1
33,'2018/10/06 17:22:50:438',1,447.64621,1
34,'2018/10/06 17:22:50:471',1,447.874298,1
35,'2018/10/06 17:22:50:503',1,450.065369,1
36,'2018/10/06 17:22:50:538',1,446.03125,1
37,'2018/10/06 17:22:50:572',1,441.883301,1
38,'2018/10/06 17:22:50:602',1,444.663177,1
39,'2018/10/06 17:22:50:657',1,442.912872,1
40,'2018/10/06 17:22:50:672',1,440.241425,1
41,'2018/10/06 17:22:50:717',1,438.725861,1
42,'2018/10/06 17:22:50:759',1,440.065002,1
43,'2018/10/06 17:22:50:773',1,439.348145,1
44,'2018/10/06 17:22:50:805',1,438.288208,1
45,'2018/10/06 17:22:50:842',1,438.03653,1
46,'2018/10/06 17:22:50:870',1,437.85379,1
47,'2018/10/06 17:22:50:904',1,436.474274,1
48,'2018/10/06 17:22:50:937',1,435.116577,1
49,'2018/10/06 17:22:50:970',1,434.916382,1
50,'2018/10/06 17:22:51:002',1,434.950165,1
51,'2018/10/06 17:22:51:037',1,435.793396,1
52,'2018/10/06 17:22:51:070',1,436.833862,1
53,'2018/10/06 17:22:51:102',1,435.294189,1
54,'2018/10/06 17:22:51:141',1,435.057251,1
55,'2018/10/06 17:22:51:172',1,436.462738,1
56,'2018/10/06 17:22:51:206',1,438.403931,1
