@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lefthand_pos_body-1 numeric
@attribute lefthand_pos_body-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
1,'2018/10/10 16:06:47:235',1,-298.823212,304.825409,0,0
2,'2018/10/10 16:06:47:270',1,-298.330475,304.090027,0,0
3,'2018/10/10 16:06:47:297',1,-298.648956,303.76889,0,0
4,'2018/10/10 16:06:47:340',1,-298.902802,303.354095,0,0
5,'2018/10/10 16:06:47:365',1,-295.679993,303.2659,0,0
6,'2018/10/10 16:06:47:398',1,-292.311035,300.621246,0,0
7,'2018/10/10 16:06:47:432',1,-292.707092,299.808807,0,0
8,'2018/10/10 16:06:47:465',1,-293.904785,297.815002,0,0
9,'2018/10/10 16:06:47:497',1,-293.464111,297.431091,0,0
10,'2018/10/10 16:06:47:533',1,-291.482178,297.863953,0,0
11,'2018/10/10 16:06:47:570',1,-293.311554,299.106934,0,0
12,'2018/10/10 16:06:47:598',1,-291.748352,299.7742,0,0
13,'2018/10/10 16:06:47:633',1,-288.682709,299.687103,0,0
14,'2018/10/10 16:06:47:670',1,-286.679443,298.186066,0,0
15,'2018/10/10 16:06:47:697',1,-287.921631,298.866455,0,0
16,'2018/10/10 16:06:47:732',1,-289.430023,300.11377,0,0
17,'2018/10/10 16:06:47:765',1,-290.666504,301.174835,0,0
18,'2018/10/10 16:06:47:797',1,-292.103241,302.990906,0,0
19,'2018/10/10 16:06:47:833',1,-292.803833,303.629517,0,0
20,'2018/10/10 16:06:47:865',1,-293.878113,303.743011,0,0
21,'2018/10/10 16:06:47:917',1,-293.426697,302.499878,0,0
22,'2018/10/10 16:06:47:966',1,-293.021271,300.82782,0,0
23,'2018/10/10 16:06:47:985',1,-292.60733,300.694885,0,0
24,'2018/10/10 16:06:48:005',1,-292.698029,301.992188,0,0
25,'2018/10/10 16:06:48:070',1,-291.338379,304.634644,0,0
26,'2018/10/10 16:06:48:132',1,-291.529541,304.811676,0,0
27,'2018/10/10 16:06:48:167',1,-292.281891,303.811615,0,0
28,'2018/10/10 16:06:48:200',1,-291.455994,303.102661,0,0
29,'2018/10/10 16:06:48:234',1,-290.33963,303.377228,0,0
30,'2018/10/10 16:06:48:267',1,-290.529541,305.156677,0,0
31,'2018/10/10 16:06:48:300',1,-291.922028,303.441132,0,0
32,'2018/10/10 16:06:48:395',1,-292.287048,303.92627,0,0
33,'2018/10/10 16:06:48:432',1,-292.718689,303.92215,0,0
34,'2018/10/10 16:06:48:465',1,-293.064026,304.273834,0,0
35,'2018/10/10 16:06:48:503',1,-292.362274,304.326569,0,0
36,'2018/10/10 16:06:48:533',1,-292.929535,304.69632,0,0
37,'2018/10/10 16:06:48:565',1,-294.404358,305.727539,0,0
38,'2018/10/10 16:06:48:608',1,-293.184814,305.221436,0,0
39,'2018/10/10 16:06:48:637',1,-293.185577,304.696594,0,0
40,'2018/10/10 16:07:02:031',2,-773.702026,327.483704,1,0
41,'2018/10/10 16:07:02:082',2,-775.02002,327.477234,1,0
42,'2018/10/10 16:07:02:147',2,-773.006531,326.127686,1,0
43,'2018/10/10 16:07:02:181',2,-773.155518,327.114197,1,0
44,'2018/10/10 16:07:02:216',2,-773.786621,328.854706,1,0
45,'2018/10/10 16:07:02:254',2,-774.345398,328.456238,1,0
46,'2018/10/10 16:07:02:280',2,-774.226685,327.752716,1,0
47,'2018/10/10 16:07:02:314',2,-773.365967,325.20874,1,0
48,'2018/10/10 16:07:02:348',2,-772.315918,322.869934,1,0
49,'2018/10/10 16:07:02:380',2,-772.507263,327.601349,1,0
50,'2018/10/10 16:07:02:413',2,-775.838867,326.802734,1,0
51,'2018/10/10 16:07:02:455',2,-774.043579,327.096191,1,0
52,'2018/10/10 16:07:02:486',2,-774.505981,327.832642,1,0
53,'2018/10/10 16:07:02:513',2,-773.802734,329.004517,1,0
54,'2018/10/10 16:07:02:549',2,-772.503906,330.153046,1,0
55,'2018/10/10 16:07:02:581',2,-771.687561,330.677673,1,0
56,'2018/10/10 16:07:02:616',2,-771.064941,334.037933,1,0
57,'2018/10/10 16:07:02:651',2,-771.939148,334.865356,1,0
58,'2018/10/10 16:07:02:680',2,-772.500244,334.561005,1,0
59,'2018/10/10 16:07:02:713',2,-771.942383,335.058472,1,0
60,'2018/10/10 16:07:02:748',2,-771.21936,334.581146,1,0
61,'2018/10/10 16:07:02:781',2,-770.181519,334.017456,1,0
62,'2018/10/10 16:07:02:816',2,-770.877625,332.598236,1,0
63,'2018/10/10 16:07:02:848',2,-773.080078,330.572296,1,0
64,'2018/10/10 16:07:02:879',2,-774.278748,330.773468,1,0
65,'2018/10/10 16:07:02:915',2,-774.948792,330.088654,1,0
66,'2018/10/10 16:07:02:950',2,-776.141602,328.628418,1,0
