@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
1,'2018/10/06 17:20:37:529',1,-148.226883,424.085602,-171.890747,0,0
2,'2018/10/06 17:20:37:561',1,-148.060989,424.688141,-171.087036,0,0
3,'2018/10/06 17:20:37:594',1,-148.973785,423.224304,-172.643066,0,0
4,'2018/10/06 17:20:37:628',1,-150.710129,422.564545,-173.706543,0,0
5,'2018/10/06 17:20:37:659',1,-149.382492,422.920288,-173.048096,0,0
6,'2018/10/06 17:20:37:694',1,-149.343353,422.930725,-173.411987,0,0
7,'2018/10/06 17:20:37:723',1,-148.397018,423.281372,-174.168701,0,0
8,'2018/10/06 17:20:37:762',1,-145.951416,425.631134,-173.25293,0,0
9,'2018/10/06 17:20:37:790',1,-147.403595,424.993896,-172.071655,0,0
10,'2018/10/06 17:20:37:823',1,-146.74379,425.392395,-171.229248,0,0
11,'2018/10/06 17:20:37:857',1,-146.365173,426.438293,-171.320801,0,0
12,'2018/10/06 17:20:37:896',1,-146.459946,428.09024,-170.55127,0,0
13,'2018/10/06 17:20:37:922',1,-146.341888,425.01532,-170.678711,0,0
14,'2018/10/06 17:20:37:957',1,-147.539551,422.778137,-171.255615,0,0
15,'2018/10/06 17:20:37:989',1,-146.766937,423.624298,-170.963623,0,0
16,'2018/10/06 17:20:38:025',1,-146.169373,423.464813,-171.086182,0,0
17,'2018/10/06 17:20:38:057',1,-147.292969,421.914886,-170.552734,0,0
18,'2018/10/06 17:20:38:090',1,-146.734085,422.761414,-170.4021,0,0
19,'2018/10/06 17:20:38:125',1,-146.837463,420.716095,-169.99939,0,0
20,'2018/10/06 17:20:38:161',1,-146.26564,420.70163,-170.088379,0,0
21,'2018/10/06 17:20:38:189',1,-145.229218,421.560089,-169.939941,0,0
22,'2018/10/06 17:20:38:228',1,-143.944656,424.819427,-169.108276,0,0
23,'2018/10/06 17:20:38:259',1,-143.755798,425.985352,-168.283813,0,0
24,'2018/10/06 17:20:38:289',1,-146.065369,425.174622,-169.08667,0,0
25,'2018/10/06 17:20:38:332',1,-144.093826,425.375122,-169.1604,0,0
26,'2018/10/06 17:20:38:359',1,-144.557236,424.072632,-169.317627,0,0
27,'2018/10/06 17:20:38:392',1,-142.196777,425.271698,-168.259766,0,0
28,'2018/10/06 17:20:38:425',1,-142.448013,424.013031,-168.471802,0,0
29,'2018/10/06 17:20:38:462',1,-144.264008,422.916138,-168.582153,0,0
30,'2018/10/06 17:20:38:494',1,-145.672852,420.32959,-168.956665,0,0
31,'2018/10/06 17:20:38:528',1,-147.475357,418.846893,-170.020264,0,0
32,'2018/10/06 17:20:38:558',1,-145.318298,420.285706,-170.213013,0,0
33,'2018/10/06 17:20:38:589',1,-145.524872,420.484436,-169.616699,0,0
34,'2018/10/06 17:20:38:638',1,-146.068909,420.434418,-169.763794,0,0
35,'2018/10/06 17:20:38:657',1,-147.502121,422.241608,-169.10791,0,0
36,'2018/10/06 17:20:38:698',1,-147.559128,421.862,-168.167236,0,0
37,'2018/10/06 17:20:38:726',1,-147.473404,420.460815,-168.306519,0,0
38,'2018/10/06 17:20:38:756',1,-145.270813,424.07843,-168.320068,0,0
39,'2018/10/06 17:20:38:791',1,-146.316742,426.403473,-168.718262,0,0
40,'2018/10/06 17:20:38:825',1,-147.576981,425.197693,-168.51001,0,0
41,'2018/10/06 17:20:38:857',1,-145.651657,426.466125,-167.13147,0,0
42,'2018/10/06 17:20:38:889',1,-147.173172,424.94986,-166.916016,0,0
43,'2018/10/06 17:20:38:925',1,-148.430176,423.176697,-166.210327,0,0
44,'2018/10/06 17:20:38:957',1,-148.33551,423.910217,-166.08728,0,0
45,'2018/10/06 17:20:38:989',1,-151.266632,421.240631,-166.75061,0,0
46,'2018/10/06 17:20:39:025',1,-152.768066,418.967712,-167.463501,0,0
47,'2018/10/06 17:20:39:058',1,-152.809036,418.867432,-167.934937,0,0
48,'2018/10/06 17:20:39:092',1,-152.304581,421.604004,-168.341187,0,0
49,'2018/10/06 17:20:39:132',1,-151.61647,422.371094,-168.310425,0,0
50,'2018/10/06 17:20:39:164',1,-153.36731,421.217834,-167.892334,0,0
