@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute cutoff_freq-1 numeric

@data
1,'2018/10/10 15:17:47:467',1,41,443,0
2,'2018/10/10 15:17:47:483',1,41,443,0
3,'2018/10/10 15:17:47:499',1,41,443,0
4,'2018/10/10 15:17:47:516',1,41,443,0
5,'2018/10/10 15:17:47:533',1,41,443,0
6,'2018/10/10 15:17:47:550',1,41,443,0
7,'2018/10/10 15:17:47:566',1,41,443,0
8,'2018/10/10 15:17:47:583',1,41,443,0
9,'2018/10/10 15:17:47:599',1,41,443,0
10,'2018/10/10 15:17:47:615',1,41,443,0
11,'2018/10/10 15:17:47:631',1,41,443,0
12,'2018/10/10 15:17:47:648',1,41,443,0
13,'2018/10/10 15:17:47:665',1,41,443,0
14,'2018/10/10 15:17:47:682',1,41,443,0
15,'2018/10/10 15:17:47:699',1,41,443,0
16,'2018/10/10 15:17:47:717',1,41,443,0
17,'2018/10/10 15:17:47:733',1,41,443,0
18,'2018/10/10 15:17:47:750',1,41,443,0
19,'2018/10/10 15:17:47:767',1,41,443,0
20,'2018/10/10 15:17:47:784',1,41,443,0
21,'2018/10/10 15:17:47:801',1,41,443,0
22,'2018/10/10 15:17:47:818',1,41,443,0
23,'2018/10/10 15:17:47:835',1,41,443,0
24,'2018/10/10 15:17:47:852',1,41,443,0
25,'2018/10/10 15:17:47:869',1,41,443,0
26,'2018/10/10 15:17:47:886',1,41,443,0
27,'2018/10/10 15:17:47:903',1,41,443,0
28,'2018/10/10 15:17:47:920',1,41,443,0
29,'2018/10/10 15:17:47:937',1,41,443,0
30,'2018/10/10 15:17:47:954',1,41,443,0
31,'2018/10/10 15:17:47:971',1,41,443,0
32,'2018/10/10 15:17:47:988',1,41,443,0
33,'2018/10/10 15:17:48:005',1,41,443,0
34,'2018/10/10 15:17:48:022',1,41,443,0
35,'2018/10/10 15:17:48:039',1,41,443,0
36,'2018/10/10 15:17:48:056',1,41,443,0
37,'2018/10/10 15:17:48:073',1,41,443,0
38,'2018/10/10 15:17:48:090',1,41,443,0
39,'2018/10/10 15:17:48:107',1,41,443,0
40,'2018/10/10 15:17:48:124',1,41,443,0
41,'2018/10/10 15:17:48:141',1,41,443,0
42,'2018/10/10 15:17:48:158',1,41,443,0
43,'2018/10/10 15:17:48:175',1,41,443,0
44,'2018/10/10 15:17:48:192',1,41,443,0
45,'2018/10/10 15:17:48:209',1,41,443,0
46,'2018/10/10 15:17:48:226',1,41,443,0
47,'2018/10/10 15:17:48:243',1,41,443,0
48,'2018/10/10 15:17:48:260',1,41,443,0
49,'2018/10/10 15:17:48:277',1,41,443,0
50,'2018/10/10 15:17:48:294',1,41,443,0
51,'2018/10/10 15:17:48:311',1,41,443,0
52,'2018/10/10 15:17:48:328',1,41,443,0
53,'2018/10/10 15:17:48:344',1,41,443,0
54,'2018/10/10 15:17:48:361',1,41,443,0
55,'2018/10/10 15:17:48:378',1,41,443,0
56,'2018/10/10 15:17:48:395',1,41,443,0
57,'2018/10/10 15:17:48:412',1,41,443,0
58,'2018/10/10 15:17:48:429',1,41,443,0
59,'2018/10/10 15:17:48:446',1,41,443,0
60,'2018/10/10 15:17:48:464',1,41,443,0
61,'2018/10/10 15:17:48:480',1,41,443,0
62,'2018/10/10 15:17:48:497',1,41,443,0
63,'2018/10/10 15:17:48:514',1,41,443,0
64,'2018/10/10 15:17:48:532',1,41,443,0
65,'2018/10/10 15:17:48:549',1,41,443,0
66,'2018/10/10 15:17:48:566',1,41,443,0
67,'2018/10/10 15:17:48:583',1,41,443,0
68,'2018/10/10 15:17:48:600',1,41,443,0
69,'2018/10/10 15:17:48:617',1,41,443,0
70,'2018/10/10 15:17:48:634',1,41,443,0
