@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
1,'2018/10/10 10:46:32:683',1,53,418,0,0
2,'2018/10/10 10:46:32:701',1,53,418,0,0
3,'2018/10/10 10:46:32:714',1,53,418,0,0
4,'2018/10/10 10:46:32:732',1,53,418,0,0
5,'2018/10/10 10:46:32:748',1,53,418,0,0
6,'2018/10/10 10:46:32:765',1,53,418,0,0
7,'2018/10/10 10:46:32:781',1,53,418,0,0
8,'2018/10/10 10:46:32:797',1,53,418,0,0
9,'2018/10/10 10:46:32:815',1,53,418,0,0
10,'2018/10/10 10:46:32:832',1,53,418,0,0
11,'2018/10/10 10:46:32:848',1,53,418,0,0
12,'2018/10/10 10:46:32:864',1,53,418,0,0
13,'2018/10/10 10:46:32:882',1,53,418,0,0
14,'2018/10/10 10:46:32:896',1,53,418,0,0
15,'2018/10/10 10:46:32:913',1,53,418,0,0
16,'2018/10/10 10:46:32:930',1,53,418,0,0
17,'2018/10/10 10:46:32:948',1,53,418,0,0
18,'2018/10/10 10:46:32:965',1,53,418,0,0
19,'2018/10/10 10:46:32:982',1,53,418,0,0
20,'2018/10/10 10:46:32:998',1,53,418,0,0
21,'2018/10/10 10:46:33:014',1,53,418,0,0
22,'2018/10/10 10:46:33:030',1,53,418,0,0
23,'2018/10/10 10:46:33:047',1,53,418,0,0
24,'2018/10/10 10:46:33:063',1,53,418,0,0
25,'2018/10/10 10:46:33:080',1,53,418,0,0
26,'2018/10/10 10:46:33:097',1,53,418,0,0
27,'2018/10/10 10:46:33:115',1,53,418,0,0
28,'2018/10/10 10:46:33:130',1,53,418,0,0
29,'2018/10/10 10:46:33:148',1,53,418,0,0
30,'2018/10/10 10:46:33:166',1,53,418,0,0
31,'2018/10/10 10:46:33:181',1,53,418,0,0
32,'2018/10/10 10:46:33:197',1,53,418,0,0
33,'2018/10/10 10:46:33:213',1,53,418,0,0
34,'2018/10/10 10:46:33:230',1,53,418,0,0
35,'2018/10/10 10:46:33:246',1,53,418,0,0
36,'2018/10/10 10:46:33:263',1,53,418,0,0
37,'2018/10/10 10:46:33:280',1,53,418,0,0
38,'2018/10/10 10:46:33:296',1,53,418,0,0
39,'2018/10/10 10:46:33:313',1,53,418,0,0
40,'2018/10/10 10:46:33:330',1,53,418,0,0
